Entity,Type,Superclass(es)
Hardship,Class,Negative_outcome
Harm,Class,Negative_outcome
Hassle,Class,Negative_outcome
Holder,Class,Owner
Homeowner,Class,"Buyer	Owner"
Horrible,Class,Negative_outcome
Household,Class,Institutional_unit
Illegal_financial_event,Class,Event
Impound,Class,Negative_outcome
Improper,Class,Negative_outcome
Incorrect,Class,Negative_outcome
Incorrect_information,Class,Negative_outcome
Ineffective,Class,Negative_outcome
Inefficient,Class,Negative_outcome
Inflated,Class,Negative_outcome
Injustice,Class,Negative_outcome
Institution,Class,Party_in_role
Institutional_unit,Class,Party_in_role
Insurance,Class,Product
Insurer,Class,Organization_member
Interest,Class,Financial_event
Intruder,Class,Party_in_role
Investigator,Class,Party_in_role
Investor,Class,Owner
Issuer,Class,Contract_originator
Late,Class,Negative_outcome
Lease,Class,Financial_event
Legal_agent,Class,Agent_in_role
Lender,Class,Contract_party
Licensed_agent,Class,Legal_agent
Licensee,Class,Party_in_role
Licensor,Class,Party_in_role
Lienholder,Class,Party_in_role
Livid,Class,Negative_outcome
Loan,Class,Financial_event
Locked,Class,Negative_outcome
Looting,Class,Negative_outcome
Loss,Class,Negative_outcome
Lost,Class,Negative_outcome
Malicious,Class,Negative_outcome
Marketing,Class,Activity
Mastercard,Class,Product
Merchant_service,Class,Financial_service
Miscellaneous,Class,Negative_outcome
Misconduct,Class,Negative_outcome
Miserable,Class,Negative_outcome
Mishandled,Class,Negative_outcome
Misinformation,Class,Negative_outcome
Misled,Class,Illegal_financial_event
Miss,Class,Negative_outcome
Missleading,Class,Negative_outcome
Mistake,Class,Negative_outcome
Monitor,Class,Activity
Mother,Class,Buyer
Negative_outcome,Class,Event_Outcome
Negotiation,Class,Positive_outcome
Noncompliant,Class,Negative_outcome
Not_afford,Class,Negative_outcome
Not_receive,Class,Negative_outcome
Not_show_up,Class,Negative_outcome
Offeree,Class,Party_in_role
Offeror,Class,Party_in_role
Ombudsmen,Class,Party_in_role
Online,Class,Service
Organization_member,Class,Party_in_role
Originator,Class,Contract_party
Overage,Class,Negative_outcome
Overcharge,Class,Negative_outcome
Overdraft,Class,Financial_event
Overdrawn,Class,Negative_outcome
Owner,Class,Party_in_role
Partner,Class,Organization_member
Party_in_role,Class,Agent_in_role
Payee,Class,Party_in_role
Payer,Class,Party_in_role
Payment,Class,Financial_event
Payment_service,Class,Merchant_service
Payoff,Class,Financial_event
Paypal,Class,Agent_in_role
Payroll,Class,Financial_event
Positive_outcome,Class,Event_Outcome
Preposterous,Class,Negative_outcome
Prevent,Class,Negative_outcome
Prime,Class,Agent_in_role
Processing,Class,Activity
Producer,Class,Party_in_role
Publisher,Class,Party_in_role
Purchase,Class,Financial_event
Purchaser,Class,Buyer
Rebuild,Class,Negative_outcome
Receiver,Class,Controlling_party
Refinance,Class,Financial_event
Refuse,Class,Negative_outcome
Registered_agent,Class,Legal_agent
Registrar,Class,Responsible_party
Registration_service,Class,Service
Regulatory_service,Class,Registration_service
Relative,Class,Buyer
Remitter,Class,Party_in_role
Render,Class,Party_in_role
Repay,Class,Negative_outcome
Report,Class,Activity
Reporting_party,Class,Party_in_role
Repossession,Class,Activity
Resent,Class,Negative_outcome
Responsible_party,Class,Party_in_role
Revoked,Class,Negative_outcome
Robosigner,Class,Party_in_role
Ross,Class,Agent_in_role
Ruin,Class,Negative_outcome
Sake,Class,Positive_outcome
Sandtander,Class,Agent_in_role
Savings_account,Class,Account
Scam,Class,Illegal_financial_event
Security,Class,Service
Security_holder,Class,Transferable_contract_holder
Security_underwriter,Class,Third_party_agent
Seller,Class,Party_in_role
Service,Class,Event
Service_provider,Class,Thing_in_role
Servicer,Class,Responsible_party
Settlement,Class,Positive_outcome
Shareholder,Class,Transferable_contract_holder
Shareholding,Class,Asset
Shirk,Class,Negative_outcome
Shortage,Class,Negative_outcome
Signatory,Class,Party_in_role
Slammed,Class,Negative_outcome
Spoofed,Class,Negative_outcome
Stalling,Class,Negative_outcome
Struggle,Class,Negative_outcome
Subjected,Class,Negative_outcome
Submitter,Class,Party_in_role
Subsidiary,Class,Controlled_party
Suntrust,Class,Agent_in_role
Supermarket,Class,Agent_in_role
Supplier,Class,Party_in_role
Swap_paying_party,Class,Debtor
Swap_receiving_party,Class,Creditor
Tax,Class,Activity
Telemarketer,Class,Party_in_role
Terminated,Class,Negative_outcome
Third_party_agent,Class,Legal_agent
Threaten,Class,Negative_outcome
Trader,Class,Service_provider
Transaction,Class,Financial_event
Transfer_service,Class,Financial_service
Transferable_contract_holder,Class,Contract_counterparty
Trust_fund_manager,Class,Party_in_role
Trustee,Class,Organization_member
Trustor,Class,Organization_member
Ultimate_consumer,Class,Consumer
Unidentified,Class,Negative_outcome
Unvalidate,Class,Negative_outcome
Usps,Class,Agent_in_role
Vandalized,Class,Negative_outcome
Venmo,Class,Agent_in_role
Victim,Class,Party_in_role
Violation,Class,Negative_outcome
Warrant_holder,Class,Controlling_party
Websterbank,Class,Agent_in_role
Wife,Class,Buyer
Withdrawal,Class,Activity
Wrong,Class,Negative_outcome
borrower,Class,Debtor
contractually_capable_entity,Class,Agent_in_role
lender,Class,Creditor
partner,Class,Owner
shareholder,Class,Owner
Bank_Of_America,Class,Thing_in_role
Bank_Of_Kansas_City,Class,Thing_in_role
Bayview_Loan_Servicing,Class,Thing_in_role
Caliber,Class,Thing_in_role
Capital_One,Class,Thing_in_role
Cardinal_Financial,Class,Thing_in_role
Carrington,Class,Thing_in_role
Chase,Class,Thing_in_role
Citibank,Class,Thing_in_role
Citimortgage,Class,Thing_in_role
Clearpath_Lending,Class,Thing_in_role
Competent_Mortgage,Class,Thing_in_role
Deutsche_Bank,Class,Thing_in_role
Ditech,Class,Thing_in_role
Dovenmuehle,Class,Thing_in_role
FHA,Class,Thing_in_role
First_American_Mortgage_Trust,Class,Thing_in_role
Flagstar,Class,Thing_in_role
Frankin_American_Mortgage,Class,Thing_in_role
Gmfs,Class,Thing_in_role
Greentree,Class,Thing_in_role
Hsbc,Class,Thing_in_role
Indymac,Class,Thing_in_role
Litton_Loan_Servicing,Class,Thing_in_role
Loancare,Class,Thing_in_role
Mason_Mcduffie,Class,Thing_in_role
Nationstar,Class,Thing_in_role
Ocwen,Class,Thing_in_role
Penny_Mac,Class,Thing_in_role
Platinum_Home_Mortgage,Class,Thing_in_role
Quicken,Class,Thing_in_role
Rocket_Mortgage,Class,Thing_in_role
Rushmore,Class,Thing_in_role
Santander,Class,Thing_in_role
Select_Portfolio_Servicing,Class,Thing_in_role
Selene_Finance,Class,Thing_in_role
Seterus,Class,Thing_in_role
Shellpoint_Mortgage_Servicing,Class,Thing_in_role
Southwest_Funding,Class,Thing_in_role
Us_Bank,Class,Thing_in_role
Wachovia,Class,Thing_in_role
Wells_Fargo,Class,Thing_in_role
360_Mortgage,Class,Thing_in_role
M&T_Bank,Class,Thing_in_role
BOA,Class,Thing_in_role
