Stopword
i
me
my
myself
we
our
ours
ourselves
you
your
yours
yourself
yourselves
he
him
his
himself
she
her
hers
herself
it
its
itself
they
them
their
theirs
themselves
what
which
who
whom
this
that
these
those
am
is
are
was
were
be
been
being
have
has
had
having
do
does
did
doing
ought
im
i'm
youre
you're
hes
he's
shes
she's
its
it's
were
we're
theyre
they're
ive
i've
youve
you've
weve
we've
theyve
they've
id
i'd
youd
you'd
he'd
she'd
we'd
theyd
they'd
ill
I'll
youll
you'll
he'll
she'll
we'll
theyll
theyll
lets
let's
thats
that's
whos
who's
whats
what's
heres
here's
theres
there's
whens
when's
wheres
where's
whys
why's
hows
how's
a
an
the
if
of
at
by
for
with
about
to
from
then
some
such
nor
than
until
between
into
through
during
to
from
then
here
there
than
can
will
just
don
should
now
ve
that'll
re
ma 
